,HMD,task,subID,type,lum_path,dur(s),max_lum_roc,max_lum_frame,max_lum_time(s),min_lum_roc,min_lum_frame,min_lum_time(s)
53,PI,cereal,P13,merged,/data/AMPs/first-round/avg-lum-per-frame/P13_cereal_pi_Subject13_cereal_merged_for_tagging.csv,175.54203315779128,0.3635297893884384,140.0,4.671333328662,-0.25771922895454036,141.0,4.7046999952953
54,PI,cereal,P15,full,/data/AMPs/first-round/avg-lum-per-frame/P15_cereal_pi_PI world v1 ps1.csv,172.13316693793863,0.8614023627522354,830.0,27.666639922248073,-0.5464136514767788,851.0,28.36663924558206
55,PI,cereal,P15,merged,/data/AMPs/first-round/avg-lum-per-frame/P15_cereal_pi_Subject15_cereal_merged_for_tagging.csv,146.5797665200869,0.2821731963005829,54.0,1.8017999981982,-0.3329910935400552,75.0,2.5024999974975
56,PI,cereal,P23,full,/data/AMPs/first-round/avg-lum-per-frame/P23_cereal_pi_PI world v1 ps1.csv,212.93312749797676,105718.87630208416,1.0,0.03333330111114226,-0.25590098389061144,548.0,18.266649008905958
57,PI,cereal,P23,merged,/data/AMPs/first-round/avg-lum-per-frame/P23_cereal_pi_Subject23_cereal_merged_for_tagging.csv,197.1636331361697,0.199175295711014,131.0,4.3710333289623,-0.23727114091038637,79.0,2.6359666640307
58,PI,cereal,P10,full,/data/AMPs/first-round/avg-lum-per-frame/P10_cereal_pi_PI world v1 ps1.csv,167.43317148126755,0.7262866874864162,1249.0,41.63329308781668,-0.6987846838103655,1284.0,42.79995862670666
59,PI,cereal,P10,merged,/data/AMPs/first-round/avg-lum-per-frame/P10_cereal_pi_Subject10_cereal_merged_for_tagging.csv,121.788333211545,0.5883476147996332,15.0,0.5004999994995,-0.05906656859793291,19.0,0.6339666660327
60,PI,cereal,P12,full,/data/AMPs/first-round/avg-lum-per-frame/P12_cereal_pi_PI world v1 ps1.csv,347.8663303958806,1.2477362098946663,860.0,28.666638955582343,-0.5082644841156987,861.0,28.699972256693485
61,PI,cereal,P12,merged,/data/AMPs/first-round/avg-lum-per-frame/P12_cereal_pi_Subject12_cereal_merged_for_tagging.csv,280.1131663865535,0.339322052746706,329.0,10.9776333223557,-0.3947279427745688,188.0,6.272933327060399
62,PI,cereal,P9,full,/data/AMPs/first-round/avg-lum-per-frame/P9_cereal_pi_PI world v1 ps1.csv,148.9331893645836,1.0806354732575567,1184.0,39.46662851559243,-0.629216432643056,1185.0,39.499961816703575
63,PI,cereal,P9,merged,/data/AMPs/first-round/avg-lum-per-frame/P9_cereal_pi_Subject9_cereal_merged_for_tagging.csv,112.04526655462139,1.2371810855581509,80.0,2.6693333306639997,-0.5592825368132486,79.0,2.6359666640307
64,PI,cereal,P1,full,/data/AMPs/first-round/avg-lum-per-frame/P1_cereal_pi_PI world v1 ps1.csv,186.09982010350723,0.5786518278175816,689.0,22.966644465577016,-0.6282022799801336,508.0,16.933316964460268
65,PI,cereal,P1,merged,/data/AMPs/first-round/avg-lum-per-frame/P1_cereal_pi_Subject1_cereal_merged_for_tagging.csv,155.02153317831178,0.34604682812096565,98.0,3.2699333300633997,-0.3733236660675612,124.0,4.1374666625292
